x.,date,warehouse,itemcode,item.description,qty
1,2020-08-03T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
2,2020-08-02T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
3,2020-08-01T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
4,2020-07-31T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
5,2020-07-30T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
6,2020-07-29T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
7,2020-07-28T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
8,2020-07-27T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
9,2020-07-26T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
10,2020-07-25T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
11,2020-07-24T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
12,2020-07-23T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
13,2020-07-22T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
14,2020-07-21T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
15,2020-07-20T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
16,2020-07-19T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
17,2020-07-18T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
18,2020-07-17T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",5
19,2020-07-16T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",4
20,2020-07-15T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",3
21,2020-07-14T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",2
22,2020-07-13T00:00:00Z,Warehouse-1,SKU-1738,"Grain, BioWheat - Barley (12.5kg) UNIT",1
